timestamp,condo_name,floor_original,floor_zscore,floor_iqr,floor,total_floor_original,total_floor_zscore,total_floor_iqr,total_floor,district,chatuchak,bangna,ramintra,samrong,laksi,phayathai,sukhumvit_42,phasi_charoen,thonburi,samutprakarn_city,bangkokyai,bangkhae,praram_2,bangkhen,suanluang,chomthong,klongsan,room_size_original,room_size_zscore,room_size_iqr,room_size,bts_distance_original,bts_distance_zscore,bts_distance_iqr,bts_distance,parking_car_per_room,fitnest,fitnest_binary,swim_pool,swim_pool_binary,shopping_mall_distance_original,shopping_mall_distance_zscore,shopping_mall_distance_iqr,shopping_mall_distance,toll_distance_original,toll_distance_zscore,toll_distance_iqr,toll_distance,security_system,guard,key_card,cctv,face_scan,common_fee_charge_original,common_fee_charge_zscore,common_fee_charge_iqr,common_fee_charge,bed_room_no_original,bed_room_no_zscore,bed_room_iqr,bed_room,bathroom_no_original,bathroom_no_zscore,bathroom_no_iqr,bathroom_no,total_funiture_price_original,total_funiture_price_zscore,total_funiture_price_iqr,total_funiture_price,owner_name,cost_estimate_original,cost_estimate_zscore,cost_estimate_iqr,cost_estimate,year_built_original,year_built_zscore,year_built_iqr,year_built,price
2019/04/05 8:51:04 PM GMT+7,Fuse Sense Bangkae,11.00,0.49,11.00,0.73,24.00,0.60,24.00,0.60,บางแค,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24.00,-0.79,24.00,-1.04,9.80,1.67,6.25,1.81,1,มี,1,มี,1,1.70,-0.26,1.70,-0.27,12.60,1.28,12.60,1.35,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1200.00,-0.13,1200.00,-0.05,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,1290000.00,0.03,1290000.00,0.22,Pruksa Real Estate,129000.00,0.01,129000.00,0.43,2558,-0.02,2558,-0.02,1290000.00
2019/04/05 10:32:11 PM GMT+7,Ease ,7.00,-0.20,7.00,-0.15,18.00,0.00,18.00,0.00,พระราม 2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27.00,-0.56,27.00,-0.68,20.00,4.15,6.25,1.81,1000,มี,1,มี,1,0.80,-0.60,0.80,-0.84,6.40,-0.11,6.40,-0.09,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,4000.00,3.26,2570.00,2.12,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,70000.00,-0.79,70000.00,-0.98,LH,666666.00,4.98,198000.00,2.04,2562,1.41,2562,1.41,1800000.00
2019/04/06 1:47:36 AM GMT+7,The lake metro park,1.00,-1.23,1.00,-1.47,8.00,-1.01,8.00,-1.01,ภาษีเจริญ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.00,-0.04,34.00,0.19,2.00,-0.23,2.00,-0.11,1,มี,1,มี,1,3.00,0.23,3.00,0.56,8.00,0.25,8.00,0.28,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1200.00,-0.13,1200.00,-0.05,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,200000.00,-0.70,200000.00,-0.85,PF,120000.00,-0.07,120000.00,0.22,2559,0.34,2559,0.34,1800000.00
2019/04/06 2:18:36 AM GMT+7,เดอะ คีย์ MRT เพชรเกษม 48,7.00,-0.20,7.00,-0.15,30.00,1.21,30.00,1.21,ภาษีเจริญ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27.80,-0.50,27.80,-0.58,1.30,-0.40,1.30,-0.43,0.46,มี,1,มี,1,1.50,-0.33,1.50,-0.39,10.20,0.74,10.20,0.79,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,55.00,-1.52,55.00,-1.86,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,400000.00,-0.57,400000.00,-0.65,แลนด์แอนด์เฮ้าส์,103900.00,-0.22,103900.00,-0.15,2561,1.05,2561,1.05,2890000.00
2019/04/06 2:28:33 AM GMT+7,MAXXI Ratchayothin ึ Phahol 34,3.00,-0.89,3.00,-1.03,8.00,-1.01,8.00,-1.01,จตุจักร,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.00,-0.94,22.00,-1.29,1.10,-0.45,1.10,-0.52,79,มี,1,มี,1,3.80,0.53,3.80,1.07,4.80,-0.46,4.80,-0.46,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1100.00,-0.25,1100.00,-0.21,3.00,4.19,1.00,0.00,1.00,-0.25,1.00,0.00,1240495.65,0.00,1240495.65,0.17,บริษัท แม็กซิมัส เอสเตท จำกัด ร่วมกับ บจก.อาร์เคพลัส เอสเตท จำกัด,79090.00,-0.45,79090.00,-0.73,2561,1.05,2561,1.05,1740000.00
2019/04/06 2:39:41 AM GMT+7,MAGNIX Ramintra 21,4.00,-0.71,4.00,-0.81,8.00,-1.01,8.00,-1.01,บางเขน ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23.00,-0.86,23.00,-1.17,0.30,-0.64,0.30,-0.88,29,มี,1,มี,1,1.50,-0.33,1.50,-0.39,5.40,-0.33,5.40,-0.32,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1035.00,-0.33,1035.00,-0.31,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,1240495.65,0.00,1240495.65,0.17,บริษัท เดอะ รอยัล เรสซิเดนซ์ จำกัด,73600.00,-0.50,73600.00,-0.86,2562,1.41,2562,1.41,1590000.00
2019/04/06 2:47:17 AM GMT+7,ชีวาทัย เพชรเกษม 27 ,10.00,0.32,10.00,0.51,26.00,0.80,26.00,0.80,ภาษีเจริญ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23.00,-0.86,23.00,-1.17,0.30,-0.64,0.30,-0.88,246,มี,1,มี,1,0.10,-0.86,0.10,-1.28,14.70,1.74,14.70,1.84,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,805.00,-0.61,805.00,-0.68,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,1240495.65,0.00,1240495.65,0.17,บริษัท ชีวาทัย จำกัด (มหาชน),85000.00,-0.40,85000.00,-0.59,2559,0.34,2559,0.34,2200000.00
2019/04/06 2:53:05 AM GMT+7,แอสปาย สุขุมวิท-อ่อนนุช,3.00,-0.89,3.00,-1.03,8.00,-1.01,8.00,-1.01,สวนหลวง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26.50,-0.60,26.50,-0.74,2.30,-0.15,2.30,0.02,206,มี,1,มี,1,0.90,-0.56,0.90,-0.78,5.10,-0.39,5.10,-0.39,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1511.00,0.25,1511.00,0.44,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,1240495.65,0.00,1240495.65,0.17,AP Thailand,86000.00,-0.39,86000.00,-0.57,2562,1.41,2562,1.41,1890000.00
2019/04/10 2:50:47 PM GMT+7,Present Condo,3.00,-0.89,3.00,-1.03,8.00,-1.01,8.00,-1.01,ธนบุรี,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32.00,-0.19,32.00,-0.06,4.20,0.31,4.20,0.88,ไม่ระบุ,มี,1,มี,1,2.10,-0.11,2.10,-0.01,7.00,0.03,7.00,0.05,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,550.00,-0.92,550.00,-1.08,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,100000.00,-0.77,100000.00,-0.95,บริษัท พรีบิลท์ จำกัด (มหาชน),90000.00,-0.35,90000.00,-0.48,2559,0.34,2559,0.34,1390000.00
2019/04/10 2:52:44 PM GMT+7,PE-LA วุฒากาศ,9.00,0.15,9.00,0.29,21.00,0.30,21.00,0.30,จอมทอง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60.50,1.96,47.75,1.88,0.10,-0.69,0.10,-0.97,0.47,มี,1,มี,1,1.30,-0.41,1.30,-0.52,6.50,-0.08,6.50,-0.07,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,540.00,-0.93,540.00,-1.10,2.00,1.92,1.00,0.00,2.00,3.88,1.00,0.00,100000.00,-0.77,100000.00,-0.95,บริษัท ชนันธร ดีเวลลอปเม้นท์ กรุ๊ป จำกัด,85000.00,-0.40,85000.00,-0.59,2559,0.34,2559,0.34,2300000.00
2019/04/10 2:54:39 PM GMT+7,NYE By Sansiri,10.00,0.32,10.00,0.51,30.00,1.21,30.00,1.21,คลองสาน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.00,0.04,35.00,0.31,0.04,-0.71,0.04,-1.00,0.52,มี,1,มี,1,1.50,-0.33,1.50,-0.39,2.60,-0.95,2.60,-0.97,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,550.00,-0.92,550.00,-1.08,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,100000.00,-0.77,100000.00,-0.95,บริษัท แสนสิริ จำกัด (มหาชน),145000.00,0.16,145000.00,0.81,2559,0.34,2559,0.34,3300000.00
2019/04/10 2:56:41 PM GMT+7,นิช ไอดี พระราม 2- ดาวคะนอง,5.00,-0.54,5.00,-0.59,8.00,-1.01,8.00,-1.01,จอมทอง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28.00,-0.49,28.00,-0.55,7.00,0.99,6.25,1.81,0.48,มี,1,มี,1,5.00,0.98,5.00,1.83,1.00,-1.31,1.00,-1.35,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,550.00,-0.92,550.00,-1.08,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,1240495.65,0.00,1240495.65,0.17,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน),100000.00,-0.26,100000.00,-0.24,2558,-0.02,2558,-0.02,1620000.00
2019/04/10 2:58:39 PM GMT+7,แอสปาย สาทร-ตากสิน (คอปเปอร์ โซน),5.00,-0.54,5.00,-0.59,21.00,0.30,21.00,0.30,ภาษีเจริญ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26.00,-0.64,26.00,-0.80,0.55,-0.58,0.55,-0.77,0.35,มี,1,มี,1,3.00,0.23,3.00,0.56,7.70,0.18,7.70,0.21,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,390.00,-1.11,390.00,-1.33,1.00,-0.34,1.00,0.00,1.00,-0.25,1.00,0.00,150000.00,-0.74,150000.00,-0.90,บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน),175000.00,0.44,175000.00,1.51,2558,-0.02,2558,-0.02,1990000.00
